GESTAO,ANO,GASTO_ANUAL
KATIA,2000,52.6
KATIA,2001,49.1
KATIA,2002,47.1
KATIA,2003,48.0
KATIA,2004,45.5
CICERO,2005,46.2
CICERO,2006,43.0
CICERO,2007,42.1
CICERO,2008,40.5
CICERO,2009,40.5
CICERO,2010,37.8
CICERO,2011,36.3
CICERO,2012,34.4
RUI,2013,31.9
RUI,2014,34.3
RUI,2015,32.5
RUI,2016,33.7
RUI,2017,33.8
RUI,2018,34.2
RUI,2019,32.9
RUI,2020,31.5
JHC,2021,25.9
JHC,2022,16.3
JHC,2023,13.6
JHC,2024,12.9
