,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
4683,1997,10,Alagoas,Maceió,1701,676,39000000,9697070,Rússia
4711,1997,5,Alagoas,Maceió,1701,111,10250000,2520230,Bulgária
4715,1997,10,Alagoas,Maceió,1701,820,13650000,4510643,Tunísia
4720,1997,5,Alagoas,Maceió,9997,199,1547,46698,Cuba
4791,1997,10,Alagoas,São José da Laje,1701,187,3000000,716850,Coreia do Norte
4934,1997,3,Alagoas,Maceió,1701,249,14370000,6266189,Estados Unidos
4941,1997,1,Alagoas,Atalaia,4016,158,11,196,Chile
4942,1997,7,Alagoas,Maceió,301,63,315,2150,Argentina
4970,1997,4,Alagoas,Maceió,301,386,115,354,Itália
5021,1997,6,Alagoas,Delmiro Gouveia,5513,63,14490,122561,Argentina
5036,1997,4,Alagoas,Maceió,2903,850,3158645,1096050,Venezuela
5161,1997,8,Alagoas,Pilar,9998,990,92189,22058,Provisão de Navios e Aeronaves
5176,1997,8,Alagoas,Matriz de Camaragibe,1701,249,2377470,1002071,Estados Unidos
5177,1997,12,Alagoas,Maceió,1701,59,7129388,1790189,Argélia
5277,1997,7,Alagoas,Maceió,306,249,6350,183416,Estados Unidos
5355,1997,1,Alagoas,São José da Laje,1701,756,13436400,3240129,África do Sul
5373,1997,6,Alagoas,Maceió,2009,83,13300,12236,Barbados
5462,1997,11,Alagoas,União dos Palmares,1701,676,700000,175000,Rússia
5629,1997,3,Alagoas,Maceió,3904,97,500000,350000,Bolívia
5633,1997,11,Alagoas,Marechal Deodoro,3923,97,17470,29820,Bolívia
5727,1997,3,Alagoas,Matriz de Camaragibe,1701,249,712110,307546,Estados Unidos
5812,1997,8,Alagoas,Maceió,301,63,420,3806,Argentina
5851,1997,1,Alagoas,Atalaia,8501,158,4410,24461,Chile
5957,1997,6,Alagoas,Maceió,2009,573,18720,14227,Países Baixos (Holanda)
5970,1997,8,Alagoas,Colônia Leopoldina,1701,249,484270,201471,Estados Unidos
5988,1997,8,Alagoas,Arapiraca,2401,728,9546,14701,Senegal
5999,1997,9,Alagoas,Delmiro Gouveia,5513,63,10175,90039,Argentina
6008,1997,6,Alagoas,São Miguel dos Campos,4819,63,3580,3969,Argentina
6083,1997,5,Alagoas,Maceió,2903,161,7989838,2452880,Taiwan (Formosa)
6197,1997,5,Alagoas,São Miguel dos Campos,4819,845,2814,4917,Uruguai
6255,1997,10,Alagoas,Maceió,801,249,240,1750,Estados Unidos
6304,1997,2,Alagoas,Pilar,9998,990,164055,44638,Provisão de Navios e Aeronaves
6311,1997,5,Alagoas,Pilar,9998,990,205317,46840,Provisão de Navios e Aeronaves
6314,1997,5,Alagoas,Maceió,1701,676,16082100,3958923,Rússia
6333,1997,2,Alagoas,Maceió,2903,399,12163888,3157259,Japão
6402,1997,10,Alagoas,Pilar,9998,990,218304,54249,Provisão de Navios e Aeronaves
6445,1997,5,Alagoas,União dos Palmares,1701,249,7546840,3287793,Estados Unidos
6453,1997,10,Alagoas,Marechal Deodoro,3923,586,2117,8224,Paraguai
6463,1997,5,Alagoas,Maceió,2009,573,33120,67136,Países Baixos (Holanda)
6480,1997,10,Alagoas,Maceió,2009,249,1320,4463,Estados Unidos
6624,1997,7,Alagoas,Arapiraca,2401,249,162417,524416,Estados Unidos
6684,1997,8,Alagoas,São Luís do Quitunde,1701,249,1492430,630920,Estados Unidos
6721,1997,11,Alagoas,Pilar,9998,990,58727,14594,Provisão de Navios e Aeronaves
6790,1997,3,Alagoas,Maceió,6802,249,17743,23748,Estados Unidos
6805,1997,4,Alagoas,Arapiraca,2401,245,1342000,2214300,Espanha
6914,1997,1,Alagoas,Atalaia,8508,158,11121,67239,Chile
6927,1997,1,Alagoas,Maceió,1701,665,1063600,257934,Zimbábue
6938,1997,7,Alagoas,Lagoa da Canoa,2401,275,82917,165834,França
7212,1997,12,Alagoas,Maceió,6802,275,19159,15526,França
7314,1997,12,Alagoas,Pilar,9998,990,188087,45849,Provisão de Navios e Aeronaves
7352,1997,3,Alagoas,Maceió,801,399,1995,12945,Japão
7355,1997,12,Alagoas,Matriz de Camaragibe,1701,676,8000000,2075420,Rússia
7373,1997,7,Alagoas,União dos Palmares,1701,249,4582860,1969352,Estados Unidos
7432,1997,1,Alagoas,Maceió,2815,329,7437146,1137883,Guiné
7587,1997,4,Alagoas,Maceió,1701,607,12800000,5484416,Portugal
7624,1997,6,Alagoas,Maceió,1702,249,2769787,491970,Estados Unidos
7696,1997,9,Alagoas,Maceió,2903,361,4757086,1516511,Índia
7733,1997,2,Alagoas,Colônia Leopoldina,1701,249,518820,225168,Estados Unidos
7750,1997,7,Alagoas,Maceió,1701,249,11667400,5166679,Estados Unidos
7784,1997,2,Alagoas,Matriz de Camaragibe,1701,249,712110,307546,Estados Unidos
7833,1997,5,Alagoas,Maceió,1701,249,12976706,5637114,Estados Unidos
8074,1997,10,Alagoas,São Luís do Quitunde,1701,111,2000000,505340,Bulgária
8095,1997,5,Alagoas,Maceió,2903,399,16207073,5861657,Japão
8122,1997,10,Alagoas,Marechal Deodoro,3904,845,2689500,1812135,Uruguai
8178,1997,10,Alagoas,Matriz de Camaragibe,1701,111,4000000,1010680,Bulgária
8268,1997,12,Alagoas,União dos Palmares,1701,59,4300610,1075153,Argélia
