,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
552594,2019,5,Alagoas,Maceió,2002,232,8,52,Dinamarca
552646,2019,1,Alagoas,Maceió,3214,434,3,392,Libéria
552658,2019,6,Alagoas,Maceió,207,351,51,180,Hong Kong
552661,2019,7,Alagoas,Maceió,2009,628,10,25,Reino Unido
552673,2019,5,Alagoas,Maceió,506,77,17,72,Bahamas
552683,2019,6,Alagoas,Maceió,1101,476,25,25,"Marshall, Ilhas"
552694,2019,12,Alagoas,Maceió,712,160,5,10,China
552708,2019,6,Alagoas,Maceió,701,351,50,66,Hong Kong
552711,2019,7,Alagoas,Maceió,2001,628,18,128,Reino Unido
552716,2019,11,Alagoas,Maceió,2007,580,21,90,Panamá
552734,2019,9,Alagoas,Maceió,1211,351,0,12,Hong Kong
552739,2019,9,Alagoas,Maceió,1601,476,2,10,"Marshall, Ilhas"
552745,2019,1,Alagoas,Maceió,2104,538,40,18,Noruega
552750,2019,5,Alagoas,Japaratinga,4015,791,24,1380,"Tcheca, República"
552751,2019,11,Alagoas,Maceió,2201,43,236,551,Antígua e Barbuda
552758,2019,5,Alagoas,Maceió,701,301,100,250,Grécia
552760,2019,8,Alagoas,Maceió,3506,301,15,118,Grécia
552766,2019,8,Alagoas,Maceió,707,467,15,14,Malta
552808,2019,8,Alagoas,Maceió,402,476,45,256,"Marshall, Ilhas"
552826,2019,1,Alagoas,Maceió,706,232,62,89,Dinamarca
552846,2019,11,Alagoas,Maceió,2201,580,1084,408,Panamá
552863,2019,5,Alagoas,Maceió,2003,607,2,26,Portugal
552869,2019,3,Alagoas,Maceió,906,232,3,40,Dinamarca
552876,2019,3,Alagoas,Arapiraca,2401,647,20113,420362,República Dominicana
552881,2019,11,Alagoas,Maceió,406,573,6,42,Países Baixos (Holanda)
552897,2019,8,Alagoas,Marechal Deodoro,9403,845,13,295,Uruguai
552899,2019,12,Alagoas,São Luís do Quitunde,1701,628,18139226,5137150,Reino Unido
552922,2019,9,Alagoas,Maceió,408,105,7,53,Brasil
552928,2019,1,Alagoas,Maceió,809,301,20,46,Grécia
552929,2019,9,Alagoas,Maceió,403,580,37,42,Panamá
552932,2019,11,Alagoas,Atalaia,1701,249,4843290,2482826,Estados Unidos
552938,2019,9,Alagoas,Maceió,2003,434,1,80,Libéria
552942,2019,9,Alagoas,Maceió,803,476,40,57,"Marshall, Ilhas"
552944,2019,6,Alagoas,Maceió,2202,361,72,225,Índia
552945,2019,8,Alagoas,Maceió,2201,467,171,287,Malta
552946,2019,3,Alagoas,Maceió,3808,467,66,51,Malta
552948,2019,5,Alagoas,Maceió,1006,232,110,117,Dinamarca
553001,2019,11,Alagoas,Maceió,202,573,47,498,Países Baixos (Holanda)
553002,2019,8,Alagoas,Maceió,2002,476,10,20,"Marshall, Ilhas"
553006,2019,1,Alagoas,Maceió,2001,476,6,17,"Marshall, Ilhas"
553009,2019,11,Alagoas,Maceió,1701,301,5,5,Grécia
553011,2019,11,Alagoas,Maceió,1104,434,8,138,Libéria
553022,2019,1,Alagoas,Maceió,703,580,20,45,Panamá
553044,2019,11,Alagoas,Maceió,708,160,75,75,China
553061,2019,8,Alagoas,Maceió,706,538,13,32,Noruega
553065,2019,3,Alagoas,Maceió,203,580,84,434,Panamá
553067,2019,3,Alagoas,Maceió,2101,77,12,71,Bahamas
553072,2019,7,Alagoas,Maceió,201,580,21,155,Panamá
553073,2019,1,Alagoas,Santa Luzia do Norte,2905,249,20,10,Estados Unidos
553079,2019,1,Alagoas,Maceió,3920,301,20,21,Grécia
553084,2019,7,Alagoas,Maceió,803,628,65,91,Reino Unido
553087,2019,7,Alagoas,Maceió,202,607,94,1228,Portugal
553088,2019,3,Alagoas,Maceió,904,160,1,9,China
553095,2019,9,Alagoas,Maceió,714,476,15,25,"Marshall, Ilhas"
553104,2019,6,Alagoas,Marechal Deodoro,6907,249,160168,29573,Estados Unidos
553106,2019,1,Alagoas,Maceió,1601,293,60,168,Gibraltar
553112,2019,5,Alagoas,Marechal Deodoro,6907,63,83160,17108,Argentina
553121,2019,1,Alagoas,Maceió,210,160,22,92,China
553123,2019,5,Alagoas,São Miguel dos Campos,1701,676,1184000,342436,Rússia
553124,2019,5,Alagoas,Maceió,705,476,43,123,"Marshall, Ilhas"
553127,2019,5,Alagoas,Maceió,901,580,2,53,Panamá
553129,2019,9,Alagoas,Maceió,810,351,20,76,Hong Kong
553173,2019,5,Alagoas,Maceió,7323,434,13,110,Libéria
553184,2019,9,Alagoas,Maceió,506,580,20,46,Panamá
553188,2019,5,Alagoas,Maceió,1701,77,18,22,Bahamas
553189,2019,5,Alagoas,Maceió,401,232,110,113,Dinamarca
553192,2019,9,Alagoas,Maceió,1509,105,4,59,Brasil
553193,2019,3,Alagoas,Maceió,714,190,120,108,Coreia do Sul
553218,2019,8,Alagoas,Maceió,702,476,30,92,"Marshall, Ilhas"
553233,2019,5,Alagoas,Maceió,801,599,192,1869,Polinésia Francesa
553237,2019,5,Alagoas,Marechal Deodoro,6907,485,104104,18688,Maurício
553238,2019,8,Alagoas,Maceió,2847,476,800,2805,"Marshall, Ilhas"
553251,2019,3,Alagoas,Maceió,2105,351,30,89,Hong Kong
553270,2019,9,Alagoas,Maceió,1106,580,5,5,Panamá
553300,2019,4,Alagoas,Maceió,710,476,38,127,"Marshall, Ilhas"
553306,2019,2,Alagoas,Maceió,703,628,52,106,Reino Unido
553314,2019,2,Alagoas,Maceió,704,434,99,168,Libéria
553317,2019,2,Alagoas,Maceió,703,573,10,74,Países Baixos (Holanda)
553327,2019,2,Alagoas,Maceió,713,434,42,121,Libéria
553336,2019,2,Alagoas,Boca da Mata,1701,670,10000000,2808504,Romênia
553337,2019,2,Alagoas,Maceió,1513,97,1087,13029,Bolívia
553341,2019,4,Alagoas,Maceió,801,301,40,90,Grécia
553353,2019,2,Alagoas,Maceió,409,741,6,34,Singapura
553361,2019,2,Alagoas,Maceió,305,580,20,230,Panamá
553363,2019,2,Alagoas,Maceió,1104,538,4,14,Noruega
553382,2019,2,Alagoas,Maceió,706,580,82,93,Panamá
553400,2019,10,Alagoas,Maceió,2101,434,0,452,Libéria
553411,2019,9,Alagoas,Maceió,901,580,3,77,Panamá
553417,2019,2,Alagoas,Maceió,2008,77,2,11,Bahamas
553418,2019,2,Alagoas,Maceió,2007,476,8,27,"Marshall, Ilhas"
553423,2019,2,Alagoas,Maceió,401,741,12,12,Singapura
553435,2019,9,Alagoas,Maceió,902,434,24,69,Libéria
553436,2019,2,Alagoas,Maceió,2106,573,24,153,Países Baixos (Holanda)
553447,2019,2,Alagoas,Maceió,2501,467,20,8,Malta
553473,2019,10,Alagoas,Maceió,710,607,5,8,Portugal
553478,2019,9,Alagoas,Marechal Deodoro,9403,137,3,78,"Cayman, Ilhas"
553479,2019,9,Alagoas,Maceió,401,43,10,13,Antígua e Barbuda
553490,2019,10,Alagoas,Maceió,6307,43,3,50,Antígua e Barbuda
553515,2019,2,Alagoas,Maceió,6802,249,27862,27827,Estados Unidos
553534,2019,4,Alagoas,Maceió,406,301,35,484,Grécia
553560,2019,2,Alagoas,Maceió,2103,476,32,42,"Marshall, Ilhas"
553565,2019,2,Alagoas,Maceió,704,628,25,30,Reino Unido
553567,2019,10,Alagoas,Maceió,709,160,250,328,China
553588,2019,4,Alagoas,Maceió,805,77,81,166,Bahamas
553599,2019,4,Alagoas,Marechal Deodoro,6907,317,23465,6370,Guatemala
553609,2019,2,Alagoas,Maceió,408,607,1440,193,Portugal
553612,2019,4,Alagoas,Maceió,707,476,9,10,"Marshall, Ilhas"
553616,2019,10,Alagoas,Maceió,207,43,35,115,Antígua e Barbuda
553633,2019,4,Alagoas,Maceió,904,741,17,196,Singapura
553655,2019,2,Alagoas,Maceió,408,434,1205,390,Libéria
553665,2019,2,Alagoas,Maceió,1902,741,162,108,Singapura
553677,2019,4,Alagoas,Maceió,2009,586,16810,30387,Paraguai
553725,2019,10,Alagoas,Maceió,307,476,34,420,"Marshall, Ilhas"
553732,2019,10,Alagoas,Maceió,4402,607,300,43,Portugal
553748,2019,10,Alagoas,Maceió,2104,607,8,34,Portugal
553752,2019,4,Alagoas,Maceió,203,741,25,138,Singapura
553759,2019,10,Alagoas,Maceió,706,43,5,5,Antígua e Barbuda
553800,2019,2,Alagoas,Maceió,401,580,60,66,Panamá
553801,2019,10,Alagoas,Marechal Deodoro,6907,485,105336,15244,Maurício
553821,2019,10,Alagoas,Maceió,402,43,2,9,Antígua e Barbuda
553827,2019,10,Alagoas,Maceió,713,858,16,188,Vietnã
553837,2019,10,Alagoas,Maceió,207,858,161,364,Vietnã
553844,2019,2,Alagoas,Maceió,803,467,20,19,Malta
553873,2019,4,Alagoas,Maceió,4818,301,1,30,Grécia
553884,2019,10,Alagoas,Maceió,805,607,105,120,Portugal
553890,2019,10,Alagoas,Maceió,3919,43,1,17,Antígua e Barbuda
553895,2019,4,Alagoas,Maceió,710,580,5,20,Panamá
553899,2019,4,Alagoas,Maceió,201,467,12,126,Malta
553911,2019,2,Alagoas,Maceió,702,538,30,34,Noruega
553953,2019,4,Alagoas,Maceió,2009,249,36319,48608,Estados Unidos
553962,2019,4,Alagoas,Maceió,207,434,199,487,Libéria
553977,2019,4,Alagoas,Maceió,706,163,20,25,Chipre
553982,2019,2,Alagoas,Maceió,408,538,720,93,Noruega
553983,2019,4,Alagoas,Maceió,2106,301,12,10,Grécia
554015,2019,4,Alagoas,Maceió,303,434,20,64,Libéria
554017,2019,10,Alagoas,Maceió,9017,43,0,7,Antígua e Barbuda
554024,2019,10,Alagoas,Maceió,805,858,150,204,Vietnã
554026,2019,10,Alagoas,Maceió,2201,476,856,410,"Marshall, Ilhas"
554032,2019,10,Alagoas,Maceió,202,43,18,134,Antígua e Barbuda
554060,2019,10,Alagoas,Maceió,402,476,39,309,"Marshall, Ilhas"
554061,2019,10,Alagoas,Maceió,712,434,0,12,Libéria
554067,2019,10,Alagoas,Maceió,707,43,10,8,Antígua e Barbuda
554084,2019,10,Alagoas,Marechal Deodoro,6907,586,129846,26291,Paraguai
554107,2019,10,Alagoas,Maceió,809,476,30,75,"Marshall, Ilhas"
554137,2019,10,Alagoas,Maceió,401,476,460,429,"Marshall, Ilhas"
554157,2019,10,Alagoas,Maceió,401,858,200,216,Vietnã
554159,2019,10,Alagoas,Maceió,2104,580,5,4,Panamá
554163,2019,10,Alagoas,Maceió,401,301,89,106,Grécia
554167,2019,10,Alagoas,Maceió,2901,476,30,457,"Marshall, Ilhas"
554177,2019,11,Alagoas,Maceió,807,573,50,44,Países Baixos (Holanda)
554186,2019,10,Alagoas,Maceió,1507,607,0,63,Portugal
554211,2019,10,Alagoas,Maceió,208,858,22,165,Vietnã
554212,2019,10,Alagoas,Maceió,2101,476,0,231,"Marshall, Ilhas"
554227,2019,4,Alagoas,Coruripe,1701,59,20484178,6311823,Argélia
554233,2019,12,Alagoas,Maceió,401,476,96,156,"Marshall, Ilhas"
554244,2019,6,Alagoas,Maceió,2005,399,10,30,Japão
554260,2019,12,Alagoas,Maceió,709,232,23,44,Dinamarca
554266,2019,12,Alagoas,Maceió,805,232,45,39,Dinamarca
554278,2019,11,Alagoas,Maceió,405,467,0,10,Malta
554307,2019,12,Alagoas,Maceió,1602,351,18,96,Hong Kong
554312,2019,11,Alagoas,Maceió,1905,43,30,162,Antígua e Barbuda
554315,2019,12,Alagoas,Maceió,403,87,13,49,Bélgica
554322,2019,6,Alagoas,Maceió,709,399,37,119,Japão
554323,2019,6,Alagoas,Maceió,401,399,203,415,Japão
554341,2019,11,Alagoas,Maceió,805,160,105,108,China
554350,2019,7,Alagoas,Maceió,2104,476,86,101,"Marshall, Ilhas"
554409,2019,7,Alagoas,Maceió,303,301,50,193,Grécia
554410,2019,5,Alagoas,Maceió,406,607,19,247,Portugal
554416,2019,7,Alagoas,Maceió,1601,476,73,312,"Marshall, Ilhas"
554422,2019,11,Alagoas,Maceió,1515,580,11,25,Panamá
554442,2019,7,Alagoas,Maceió,1006,628,40,48,Reino Unido
554460,2019,11,Alagoas,Maceió,407,573,12,43,Países Baixos (Holanda)
554473,2019,5,Alagoas,Maceió,3816,301,75,1200,Grécia
554501,2019,5,Alagoas,Maceió,202,580,42,218,Panamá
554509,2019,7,Alagoas,Maceió,2007,628,8,88,Reino Unido
554537,2019,6,Alagoas,Maceió,710,476,35,159,"Marshall, Ilhas"
554539,2019,6,Alagoas,Maceió,1602,77,27,157,Bahamas
554544,2019,7,Alagoas,Maceió,2106,476,68,145,"Marshall, Ilhas"
554551,2019,6,Alagoas,Maceió,808,301,80,202,Grécia
554576,2019,5,Alagoas,Maceió,806,90,81,501,Bermudas
554577,2019,5,Alagoas,Maceió,210,301,140,1067,Grécia
554578,2019,9,Alagoas,Maceió,2009,476,132,222,"Marshall, Ilhas"
554583,2019,11,Alagoas,Maceió,803,160,40,48,China
554595,2019,7,Alagoas,Maceió,3808,476,1,17,"Marshall, Ilhas"
554598,2019,7,Alagoas,Maceió,2201,476,1131,718,"Marshall, Ilhas"
554601,2019,6,Alagoas,Maceió,408,476,1080,156,"Marshall, Ilhas"
554602,2019,6,Alagoas,Maceió,2002,361,25,47,Índia
554620,2019,6,Alagoas,Maceió,2402,476,149,1757,"Marshall, Ilhas"
554632,2019,9,Alagoas,Coruripe,1701,149,13187160,4027449,Canadá
554639,2019,3,Alagoas,Maceió,904,580,2,13,Panamá
554641,2019,11,Alagoas,Maceió,704,301,120,189,Grécia
554674,2019,8,Alagoas,Maceió,1601,77,10,30,Bahamas
554678,2019,7,Alagoas,Igreja Nova,1701,249,5761525,1703613,Estados Unidos
554681,2019,8,Alagoas,Maceió,1006,476,530,516,"Marshall, Ilhas"
554683,2019,7,Alagoas,Maceió,707,301,20,19,Grécia
554689,2019,6,Alagoas,Maceió,2103,399,24,76,Japão
554694,2019,7,Alagoas,Maceió,1905,607,301,235,Portugal
554701,2019,11,Alagoas,Maceió,1602,580,5,34,Panamá
554704,2019,8,Alagoas,Maceió,708,160,40,88,China
554708,2019,8,Alagoas,Maceió,302,476,45,499,"Marshall, Ilhas"
554735,2019,7,Alagoas,Maceió,1905,77,33,366,Bahamas
554747,2019,8,Alagoas,Maceió,1601,607,20,76,Portugal
554756,2019,11,Alagoas,Maceió,1604,573,2,20,Países Baixos (Holanda)
554762,2019,6,Alagoas,Maceió,807,77,230,155,Bahamas
554771,2019,1,Alagoas,Maceió,7013,301,56,284,Grécia
554773,2019,8,Alagoas,Maceió,401,434,120,148,Libéria
554776,2019,1,Alagoas,Maceió,2106,741,3,20,Singapura
554782,2019,7,Alagoas,Maceió,1601,77,75,272,Bahamas
554803,2019,1,Alagoas,Maceió,702,267,41,49,Filipinas
554816,2019,3,Alagoas,Maceió,204,351,24,372,Hong Kong
554826,2019,5,Alagoas,Maceió,709,741,30,106,Singapura
554839,2019,9,Alagoas,Maceió,807,351,452,276,Hong Kong
554873,2019,11,Alagoas,Maceió,204,573,10,146,Países Baixos (Holanda)
554886,2019,5,Alagoas,Maceió,1904,301,10,40,Grécia
554897,2019,5,Alagoas,Maceió,1905,607,128,731,Portugal
554903,2019,1,Alagoas,Maceió,2201,301,920,1430,Grécia
554904,2019,3,Alagoas,Maceió,1806,476,0,11,"Marshall, Ilhas"
554905,2019,5,Alagoas,Maceió,403,607,42,57,Portugal
554913,2019,5,Alagoas,Maceió,2101,580,0,74,Panamá
554916,2019,1,Alagoas,Maceió,2103,293,75,130,Gibraltar
554930,2019,1,Alagoas,Maceió,202,434,111,834,Libéria
554949,2019,1,Alagoas,Maceió,204,476,33,668,"Marshall, Ilhas"
554950,2019,3,Alagoas,Maceió,1006,160,250,630,China
554956,2019,11,Alagoas,Maceió,2501,580,11,6,Panamá
554958,2019,1,Alagoas,Maceió,1604,538,24,50,Noruega
554966,2019,5,Alagoas,Maceió,701,160,30,47,China
554975,2019,1,Alagoas,Maceió,803,538,36,39,Noruega
554978,2019,9,Alagoas,Maceió,406,351,50,268,Hong Kong
555003,2019,3,Alagoas,Maceió,405,573,1,136,Países Baixos (Holanda)
555009,2019,5,Alagoas,Maceió,402,741,11,79,Singapura
555012,2019,7,Alagoas,Maceió,2201,628,1430,321,Reino Unido
555016,2019,3,Alagoas,Maceió,1517,580,12,17,Panamá
555027,2019,6,Alagoas,Maceió,4803,77,50,27,Bahamas
555032,2019,6,Alagoas,Maceió,3605,77,36,14,Bahamas
555035,2019,9,Alagoas,Maceió,1207,434,0,22,Libéria
555076,2019,6,Alagoas,Maceió,708,351,15,25,Hong Kong
555079,2019,7,Alagoas,Japaratinga,4016,23,21,2127,Alemanha
555091,2019,3,Alagoas,Maceió,701,580,75,91,Panamá
555092,2019,7,Alagoas,Maceió,804,399,78,101,Japão
555105,2019,12,Alagoas,Maceió,805,275,50,73,França
555115,2019,6,Alagoas,Maceió,302,607,20,303,Portugal
555118,2019,9,Alagoas,Maceió,910,301,5,10,Grécia
555129,2019,6,Alagoas,Maceió,709,160,75,141,China
555141,2019,11,Alagoas,Maceió,704,160,185,292,China
555150,2019,1,Alagoas,Maceió,2004,476,24,66,"Marshall, Ilhas"
555155,2019,12,Alagoas,Maceió,708,160,75,100,China
555176,2019,11,Alagoas,Maceió,306,301,3,10,Grécia
555186,2019,9,Alagoas,Maceió,1604,580,21,207,Panamá
555203,2019,6,Alagoas,Maceió,702,607,30,22,Portugal
555223,2019,9,Alagoas,Maceió,1103,351,25,82,Hong Kong
555224,2019,11,Alagoas,Maceió,810,43,8,25,Antígua e Barbuda
555228,2019,5,Alagoas,Maceió,206,741,66,406,Singapura
555229,2019,11,Alagoas,Maceió,407,476,106,348,"Marshall, Ilhas"
555262,2019,1,Alagoas,Santa Luzia do Norte,3912,249,20,78,Estados Unidos
555288,2019,9,Alagoas,Maceió,709,301,83,116,Grécia
555303,2019,8,Alagoas,Maceió,1602,538,32,146,Noruega
555316,2019,3,Alagoas,Maceió,707,580,35,55,Panamá
555357,2019,5,Alagoas,Maceió,207,580,135,293,Panamá
555383,2019,8,Alagoas,Maceió,2103,538,29,270,Noruega
555398,2019,9,Alagoas,Maceió,201,580,37,206,Panamá
555401,2019,11,Alagoas,São Luís do Quitunde,1701,271,20000000,5274404,Finlândia
555410,2019,1,Alagoas,Maceió,6115,580,72,293,Panamá
555411,2019,11,Alagoas,São Miguel dos Campos,1701,149,1800924,487741,Canadá
555415,2019,3,Alagoas,Maceió,703,580,37,51,Panamá
555422,2019,8,Alagoas,Maceió,203,538,110,615,Noruega
555437,2019,11,Alagoas,Maceió,1104,43,2,23,Antígua e Barbuda
555443,2019,3,Alagoas,Maceió,810,476,35,175,"Marshall, Ilhas"
555454,2019,1,Alagoas,Marechal Deodoro,6907,158,288052,65120,Chile
555456,2019,1,Alagoas,Maceió,210,434,30,222,Libéria
555488,2019,11,Alagoas,Marechal Deodoro,6907,391,132108,23016,Jamaica
555514,2019,9,Alagoas,Maceió,1515,434,108,143,Libéria
555521,2019,6,Alagoas,Maceió,302,77,25,201,Bahamas
555537,2019,9,Alagoas,Maceió,1601,386,10,20,Itália
555538,2019,12,Alagoas,Maceió,805,87,55,106,Bélgica
555539,2019,9,Alagoas,Maceió,712,301,8,22,Grécia
555556,2019,7,Alagoas,Maceió,302,607,20,304,Portugal
555558,2019,9,Alagoas,Maceió,1701,434,0,141,Libéria
555561,2019,7,Alagoas,Maceió,708,628,4,4,Reino Unido
555574,2019,7,Alagoas,Maceió,6307,628,7,55,Reino Unido
555597,2019,5,Alagoas,Maceió,8504,434,68,210,Libéria
555616,2019,1,Alagoas,Maceió,204,301,23,414,Grécia
555629,2019,3,Alagoas,Maceió,703,476,53,79,"Marshall, Ilhas"
555633,2019,9,Alagoas,Maceió,1902,386,6,18,Itália
555657,2019,9,Alagoas,Maceió,805,386,35,32,Itália
555676,2019,1,Alagoas,São José da Laje,1701,756,1620000,477199,África do Sul
555691,2019,3,Alagoas,Maceió,2002,77,12,28,Bahamas
555693,2019,5,Alagoas,Maceió,701,580,175,263,Panamá
555697,2019,5,Alagoas,Maceió,807,77,1229,1582,Bahamas
555701,2019,5,Alagoas,Maceió,704,77,130,615,Bahamas
555713,2019,6,Alagoas,Maceió,7314,476,6,259,"Marshall, Ilhas"
555727,2019,8,Alagoas,Maceió,805,434,135,150,Libéria
555731,2019,12,Alagoas,Maceió,810,275,15,33,França
555732,2019,12,Alagoas,Maceió,401,160,12,16,China
555775,2019,12,Alagoas,Maceió,402,476,256,47,"Marshall, Ilhas"
555812,2019,8,Alagoas,Maceió,405,467,5,68,Malta
555815,2019,11,Alagoas,Maceió,1101,434,25,53,Libéria
555836,2019,9,Alagoas,Maceió,703,301,110,198,Grécia
555843,2019,6,Alagoas,Maceió,708,607,110,155,Portugal
555851,2019,12,Alagoas,Maceió,704,232,30,119,Dinamarca
555858,2019,11,Alagoas,Maceió,406,43,12,60,Antígua e Barbuda
555885,2019,12,Alagoas,Maceió,704,267,25,97,Filipinas
555897,2019,1,Alagoas,Maceió,704,77,30,86,Bahamas
555932,2019,9,Alagoas,Maceió,910,476,7,101,"Marshall, Ilhas"
555934,2019,7,Alagoas,Marechal Deodoro,9403,815,10,236,Trinidad e Tobago
555938,2019,5,Alagoas,Maceió,703,741,63,111,Singapura
555946,2019,5,Alagoas,Maceió,401,580,215,221,Panamá
555971,2019,11,Alagoas,Maceió,406,476,16,96,"Marshall, Ilhas"
556002,2019,12,Alagoas,Maceió,207,160,9,25,China
556008,2019,6,Alagoas,Maceió,1102,476,20,12,"Marshall, Ilhas"
556014,2019,5,Alagoas,Maceió,401,160,84,108,China
556028,2019,12,Alagoas,Maceió,806,232,10,19,Dinamarca
556042,2019,5,Alagoas,Maceió,708,607,5,11,Portugal
556044,2019,8,Alagoas,Marechal Deodoro,6907,391,182776,31496,Jamaica
556050,2019,5,Alagoas,Maceió,1701,232,0,21,Dinamarca
556074,2019,7,Alagoas,Maceió,7214,476,12,10,"Marshall, Ilhas"
556090,2019,1,Alagoas,Maceió,813,301,20,92,Grécia
556092,2019,1,Alagoas,Maceió,808,538,10,25,Noruega
556098,2019,3,Alagoas,Marechal Deodoro,6907,317,47608,9712,Guatemala
556111,2019,1,Alagoas,Maceió,2501,580,15,2,Panamá
556118,2019,11,Alagoas,Maceió,3302,434,0,1,Libéria
556119,2019,1,Alagoas,Maceió,1604,351,70,90,Hong Kong
556120,2019,8,Alagoas,Maceió,206,301,15,73,Grécia
556132,2019,6,Alagoas,Maceió,4419,160,50,7,China
556151,2019,6,Alagoas,Arapiraca,3916,337,12234,31882,Guiana
556167,2019,9,Alagoas,Maceió,1507,351,11,70,Hong Kong
556170,2019,8,Alagoas,Maceió,705,351,10,40,Hong Kong
556185,2019,1,Alagoas,Maceió,710,741,25,132,Singapura
556213,2019,5,Alagoas,Maceió,402,607,10,55,Portugal
556224,2019,11,Alagoas,Maceió,402,573,4,14,Países Baixos (Holanda)
556261,2019,7,Alagoas,Maceió,302,77,20,192,Bahamas
556274,2019,1,Alagoas,Maceió,803,267,20,23,Filipinas
556275,2019,9,Alagoas,Maceió,3402,105,5,14,Brasil
556278,2019,8,Alagoas,Maceió,3923,160,100,90,China
556291,2019,3,Alagoas,Maceió,2201,160,107,343,China
556294,2019,1,Alagoas,Maceió,210,293,31,211,Gibraltar
556320,2019,11,Alagoas,Maceió,506,573,5,13,Países Baixos (Holanda)
556338,2019,6,Alagoas,Maceió,1006,351,200,211,Hong Kong
556364,2019,1,Alagoas,Maceió,405,301,50,521,Grécia
556404,2019,3,Alagoas,Maceió,1806,351,203,478,Hong Kong
556405,2019,3,Alagoas,Maceió,2005,232,7,28,Dinamarca
556426,2019,1,Alagoas,Maceió,1701,293,50,51,Gibraltar
556430,2019,5,Alagoas,Maceió,1101,232,40,36,Dinamarca
556458,2019,3,Alagoas,Maceió,407,160,324,180,China
556460,2019,5,Alagoas,Maceió,805,160,67,92,China
556465,2019,7,Alagoas,Maceió,1601,301,50,137,Grécia
556475,2019,12,Alagoas,Maceió,9025,267,1,32,Filipinas
556477,2019,7,Alagoas,Maceió,713,580,10,78,Panamá
556478,2019,5,Alagoas,Maceió,701,232,60,89,Dinamarca
556486,2019,1,Alagoas,Maceió,4823,301,20,17,Grécia
556492,2019,5,Alagoas,Maceió,705,434,15,68,Libéria
556495,2019,5,Alagoas,Maceió,4905,301,4,380,Grécia
556509,2019,1,Alagoas,Maceió,2101,580,24,62,Panamá
556515,2019,5,Alagoas,Maceió,808,434,51,125,Libéria
556519,2019,12,Alagoas,Maceió,1211,351,0,4,Hong Kong
556564,2019,11,Alagoas,Maceió,3402,301,20,17,Grécia
556580,2019,11,Alagoas,São José da Laje,1701,245,8312972,2499102,Espanha
556584,2019,1,Alagoas,Marechal Deodoro,6907,485,158004,20766,Maurício
556589,2019,3,Alagoas,Maceió,2005,190,15,60,Coreia do Sul
556598,2019,8,Alagoas,Maceió,2105,467,18,51,Malta
556623,2019,7,Alagoas,Maceió,1702,40,113,768,Angola
556628,2019,12,Alagoas,Maceió,408,267,67,73,Filipinas
556644,2019,12,Alagoas,Maceió,2204,160,3,12,China
556678,2019,12,Alagoas,Marechal Deodoro,6907,249,2610523,632539,Estados Unidos
556702,2019,8,Alagoas,Maceió,7304,476,6,251,"Marshall, Ilhas"
556706,2019,12,Alagoas,Maceió,204,160,40,374,China
556708,2019,1,Alagoas,Santa Luzia do Norte,3824,249,275,146,Estados Unidos
556712,2019,3,Alagoas,Maceió,2104,232,2,9,Dinamarca
556714,2019,7,Alagoas,Maceió,3506,301,0,71,Grécia
556716,2019,3,Alagoas,Maceió,801,365,93475,155768,Indonésia
556721,2019,5,Alagoas,São Luís do Quitunde,1701,149,3915800,1153409,Canadá
556747,2019,3,Alagoas,Maceió,402,476,15,20,"Marshall, Ilhas"
556784,2019,1,Alagoas,Maceió,1905,741,5,18,Singapura
556800,2019,9,Alagoas,Maceió,2901,434,48,1343,Libéria
556804,2019,8,Alagoas,Maceió,5202,301,150,476,Grécia
556807,2019,8,Alagoas,Maceió,1108,607,3,24,Portugal
556814,2019,9,Alagoas,Maceió,3204,105,0,1,Brasil
556867,2019,5,Alagoas,Maceió,407,232,117,246,Dinamarca
556871,2019,8,Alagoas,Maceió,1902,467,24,90,Malta
556887,2019,9,Alagoas,Maceió,2922,434,2,21,Libéria
556890,2019,8,Alagoas,Maceió,809,301,10,39,Grécia
556891,2019,8,Alagoas,Maceió,407,538,1501,182,Noruega
556896,2019,9,Alagoas,Maceió,409,455,2,32,Malásia
556902,2019,5,Alagoas,Maceió,203,607,144,686,Portugal
556916,2019,9,Alagoas,Marechal Deodoro,6907,80,100172,26381,Barein
556950,2019,9,Alagoas,Maceió,2501,105,10,1,Brasil
556961,2019,2,Alagoas,Maceió,1905,607,164,454,Portugal
556964,2019,9,Alagoas,Maceió,1701,105,0,14,Brasil
556965,2019,5,Alagoas,Maceió,1517,77,12,33,Bahamas
556966,2019,3,Alagoas,Maceió,813,160,8,38,China
556988,2019,4,Alagoas,Marechal Deodoro,6907,580,78527,15328,Panamá
556990,2019,2,Alagoas,Maceió,1902,476,36,100,"Marshall, Ilhas"
557008,2019,2,Alagoas,Maceió,2103,77,68,184,Bahamas
557023,2019,2,Alagoas,Maceió,2103,97,230,2071,Bolívia
557051,2019,4,Alagoas,Maceió,2106,767,494,3029,Suíça
557081,2019,2,Alagoas,Maceió,304,607,17,108,Portugal
557111,2019,2,Alagoas,Maceió,709,580,290,331,Panamá
557117,2019,10,Alagoas,Maceió,5202,399,200,628,Japão
557122,2019,10,Alagoas,Maceió,5705,43,0,87,Antígua e Barbuda
557153,2019,2,Alagoas,Maceió,409,573,24,174,Países Baixos (Holanda)
