,Unnamed: 0,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
21023,673215,2020,6,Alagoas,Maceió,901,351,2,34,Hong Kong
48383,937617,2024,2,Alagoas,Maceió,406,467,32,291,Malta
22479,688324,2021,6,Alagoas,Maceió,807,467,50,35,Malta
19011,652580,2020,2,Alagoas,Maceió,1902,434,122,421,Libéria
1215,76967,2002,11,Alagoas,Maceió,306,249,3316,114226,Estados Unidos
24763,713373,2021,6,Alagoas,Maceió,1806,163,10,33,Chipre
39550,863085,2023,3,Alagoas,Maceió,403,160,18,55,China
44468,905328,2023,6,Alagoas,Maceió,804,580,60,126,Panamá
41067,876310,2023,3,Alagoas,Maceió,802,399,0,8,Japão
34648,817972,2022,8,Alagoas,Marechal Deodoro,6907,193,417986,118491,Costa do Marfim
12980,588652,2019,5,Alagoas,Maceió,713,741,5,42,Singapura
26329,730278,2021,10,Alagoas,Maceió,2202,255,120,125,Falkland (Malvinas)
28002,749656,2021,3,Alagoas,Maceió,2001,580,8,43,Panamá
27592,745128,2021,6,Alagoas,Maceió,4819,88,1,1,Belize
5666,347190,2011,10,Alagoas,São Luís do Quitunde,1701,670,703974,574753,Romênia
29655,767866,2022,8,Alagoas,Maceió,3925,434,2,26,Libéria
6769,444623,2015,2,Alagoas,São José da Laje,1701,229,2160000,949576,Benin
29045,761454,2022,1,Alagoas,Maceió,1108,434,2,10,Libéria
43974,900910,2023,11,Alagoas,Maceió,6307,476,0,4,"Marshall, Ilhas"
17799,640192,2020,9,Alagoas,Maceió,8508,476,1,106,"Marshall, Ilhas"
48933,942341,2024,1,Alagoas,Maceió,703,467,150,176,Malta
6121,383455,2013,6,Alagoas,Murici,2924,845,24000,30000,Uruguai
461,27814,1999,9,Alagoas,Santa Luzia do Norte,901,744,153600,175497,Síria
38738,856015,2023,8,Alagoas,Maceió,303,399,287,1129,Japão
26535,732783,2021,5,Alagoas,Maceió,2901,434,4,812,Libéria
2036,125259,2004,12,Alagoas,Maceió,9998,990,104399,59542,Provisão de Navios e Aeronaves
11342,570461,2019,12,Alagoas,Maceió,1702,87,5,54,Bélgica
37907,849090,2023,12,Alagoas,Maceió,3401,83,210,363,Barbados
30310,774668,2022,6,Alagoas,Maceió,3920,301,10,55,Grécia
20273,665537,2020,9,Alagoas,Maceió,1806,741,15,75,Singapura
18342,645782,2020,8,Alagoas,Maceió,407,163,163,455,Chipre
1000,63853,2001,8,Alagoas,Maceió,306,399,72,2019,Japão
32795,798749,2022,4,Alagoas,Maceió,2009,607,2995,6877,Portugal
39719,864715,2023,9,Alagoas,Maceió,2402,87,75,1409,Bélgica
47047,926675,2024,6,Alagoas,Maceió,1006,607,100,209,Portugal
10569,562356,2019,6,Alagoas,Maceió,708,160,30,29,China
32686,797625,2022,8,Alagoas,Maceió,710,195,110,276,Croácia
42466,887809,2023,12,Alagoas,Maceió,2202,580,64,63,Panamá
36357,835337,2023,6,Alagoas,Maceió,709,160,105,176,China
45783,916386,2024,3,Alagoas,Maceió,2009,183,24,35,"Cook, Ilhas"
3305,202527,2006,10,Alagoas,Rio Largo,9998,990,245387,175639,Provisão de Navios e Aeronaves
32867,799587,2022,9,Alagoas,Maceió,6201,741,2,138,Singapura
40367,870109,2023,10,Alagoas,Maceió,2804,434,74,68,Libéria
38057,850284,2023,2,Alagoas,Maceió,703,249,200,395,Estados Unidos
26158,728381,2021,12,Alagoas,Maceió,704,399,20,18,Japão
3569,219278,2007,6,Alagoas,São Miguel dos Campos,2523,145,12143179,613231,Camarões
19158,653911,2020,9,Alagoas,Maceió,307,628,10,98,Reino Unido
30339,774960,2022,1,Alagoas,Maceió,4016,538,0,54,Noruega
19807,660781,2020,4,Alagoas,Maceió,2208,399,27,143,Japão
34168,812991,2022,12,Alagoas,Maceió,712,301,29,95,Grécia
766,48837,2000,8,Alagoas,Rio Largo,9998,990,22491,11712,Provisão de Navios e Aeronaves
15554,616429,2020,7,Alagoas,Maceió,1513,127,1711,18154,Cabo Verde
21599,679309,2020,10,Alagoas,Maceió,1602,538,16,49,Noruega
14722,607795,2019,3,Alagoas,Maceió,709,434,41,123,Libéria
30102,772537,2022,3,Alagoas,Maceió,712,105,10,7,Brasil
3921,240201,2008,11,Alagoas,Maceió,1701,676,65550000,20485835,Rússia
31001,781075,2022,9,Alagoas,Maceió,506,361,20,80,Índia
11370,570825,2019,3,Alagoas,Maceió,307,351,10,144,Hong Kong
5091,310544,2010,4,Alagoas,São José da Laje,1701,145,810000,551156,Camarões
15890,620001,2020,3,Alagoas,Maceió,706,573,255,804,Países Baixos (Holanda)
39708,864652,2023,11,Alagoas,Maceió,3307,434,17,275,Libéria
20128,664010,2020,9,Alagoas,Maceió,1605,267,10,110,Filipinas
16436,625767,2020,12,Alagoas,Maceió,804,467,79,77,Malta
34621,817768,2022,3,Alagoas,Maceió,710,77,35,116,Bahamas
35140,822781,2022,1,Alagoas,Maceió,703,434,406,813,Libéria
18769,650337,2020,2,Alagoas,Maceió,405,145,11,178,Camarões
2756,167718,2005,12,Alagoas,Maceió,1701,474,20690280,6058759,Marrocos
33140,802524,2022,5,Alagoas,Maceió,706,351,20,41,Hong Kong
40079,867732,2023,1,Alagoas,Maceió,3924,434,24,282,Libéria
21669,680004,2020,3,Alagoas,Maceió,705,160,88,155,China
32010,790756,2022,1,Alagoas,Maceió,904,351,2,16,Hong Kong
42182,885394,2023,2,Alagoas,Maceió,709,160,130,201,China
29076,761799,2022,7,Alagoas,Maceió,2105,301,48,130,Grécia
7254,473701,2016,11,Alagoas,Marechal Deodoro,6908,341,103771,18168,Haiti
3521,215572,2007,7,Alagoas,União dos Palmares,1701,756,5350000,1422030,África do Sul
2058,126508,2004,9,Alagoas,São Miguel dos Campos,2523,177,11419794,382563,Congo
28833,759063,2021,12,Alagoas,Maceió,206,476,28,114,"Marshall, Ilhas"
11147,568176,2019,10,Alagoas,Maceió,401,160,130,183,China
5828,358602,2012,1,Alagoas,Maceió,9602,53,146,2779,Arábia Saudita
12388,581976,2019,10,Alagoas,Maceió,2009,160,63,82,China
2953,180129,2006,4,Alagoas,Maceió,604,767,1662,2304,Suíça
26626,733782,2021,10,Alagoas,Maceió,2202,580,51,47,Panamá
44871,908711,2024,4,Alagoas,Maceió,706,434,138,259,Libéria
28781,758395,2021,11,Alagoas,Maceió,1604,538,64,509,Noruega
14778,608447,2019,11,Alagoas,Maceió,2103,434,26,217,Libéria
38587,854661,2023,3,Alagoas,Maceió,708,399,30,58,Japão
39120,859280,2023,1,Alagoas,Maceió,1806,163,7,230,Chipre
16927,630683,2020,11,Alagoas,Maceió,2103,538,19,87,Noruega
1901,116885,2004,10,Alagoas,União dos Palmares,2207,687,1485066,367578,El Salvador
24292,707934,2021,8,Alagoas,Maceió,6307,580,0,50,Panamá
47644,931874,2024,5,Alagoas,Maceió,808,43,36,123,Antígua e Barbuda
49468,946885,2024,2,Alagoas,Maceió,2104,163,2,14,Chipre
22572,689451,2021,6,Alagoas,Maceió,2008,163,27,245,Chipre
15189,612661,2019,6,Alagoas,Maceió,810,361,19,51,Índia
33729,808447,2022,10,Alagoas,Maceió,1905,386,11,58,Itália
31352,784576,2022,12,Alagoas,Maceió,2105,476,18,101,"Marshall, Ilhas"
4681,284668,2009,5,Alagoas,Murici,2924,845,24000,17760,Uruguai
14405,604260,2019,7,Alagoas,Maceió,506,607,20,51,Portugal
85,4791,1997,10,Alagoas,São José da Laje,1701,187,3000000,716850,Coreia do Norte
6230,394816,2013,3,Alagoas,Maceió,1701,573,24650000,10208100,Países Baixos (Holanda)
1855,113969,2004,9,Alagoas,Maceió,9403,249,73,400,Estados Unidos
22887,692774,2021,4,Alagoas,Maceió,805,351,70,41,Hong Kong
30163,773114,2022,3,Alagoas,Maceió,2103,301,13,44,Grécia
13621,595458,2019,11,Alagoas,Maceió,810,275,10,23,França
15987,621065,2020,6,Alagoas,Maceió,2922,232,2,25,Dinamarca
16274,624093,2020,6,Alagoas,Maceió,710,160,20,16,China
808,51120,2000,11,Alagoas,Lagoa da Canoa,2401,245,20400,25500,Espanha
30497,776324,2022,3,Alagoas,Maceió,2102,386,2,8,Itália
36922,840263,2023,4,Alagoas,Maceió,901,705,22,294,São Vicente e Granadinas
6889,452478,2015,6,Alagoas,Maceió,1701,676,11050000,3418954,Rússia
2195,133914,2004,11,Alagoas,Coruripe,1701,149,8500000,1431825,Canadá
9875,554227,2019,4,Alagoas,Coruripe,1701,59,20484178,6311823,Argélia
20073,663332,2020,11,Alagoas,Maceió,405,293,3,30,Gibraltar
39980,866993,2023,3,Alagoas,Maceió,407,467,90,113,Malta
18766,650300,2020,12,Alagoas,Maceió,303,351,80,245,Hong Kong
23871,703481,2021,5,Alagoas,Maceió,803,434,25,21,Libéria
2525,153636,2005,12,Alagoas,Barra de São Miguel,604,607,42,191,Portugal
15846,619677,2020,6,Alagoas,Maceió,2105,434,20,21,Libéria
7599,492352,2017,4,Alagoas,São José da Laje,1701,434,270000,121500,Libéria
22150,684756,2020,6,Alagoas,Maceió,2008,351,32,140,Hong Kong
11397,571070,2019,5,Alagoas,Maceió,806,160,18,45,China
22762,691542,2021,11,Alagoas,Maceió,804,255,20,24,Falkland (Malvinas)
45084,910534,2024,2,Alagoas,Maceió,2201,580,449,155,Panamá
17923,641404,2020,10,Alagoas,Maceió,804,160,13,13,China
30147,773005,2022,2,Alagoas,Maceió,2009,434,61,63,Libéria
42883,891272,2023,3,Alagoas,Maceió,1701,361,25,15,Índia
1926,118534,2004,2,Alagoas,Pilar,9998,137,1943316,434714,"Cayman, Ilhas"
21610,679406,2020,12,Alagoas,Maceió,2008,476,30,243,"Marshall, Ilhas"
24791,713659,2021,2,Alagoas,Maceió,709,434,137,209,Libéria
17279,634554,2020,12,Alagoas,Maceió,713,467,10,70,Malta
44501,905608,2023,1,Alagoas,Maceió,702,163,29,92,Chipre
33767,808736,2022,2,Alagoas,Maceió,401,538,120,145,Noruega
34608,817694,2022,6,Alagoas,Maceió,407,77,237,162,Bahamas
38857,856949,2023,11,Alagoas,Maceió,1101,267,100,216,Filipinas
17851,640660,2020,3,Alagoas,Maceió,1211,232,10,114,Dinamarca
44089,901928,2023,8,Alagoas,Maceió,1104,580,5,29,Panamá
45391,913121,2024,4,Alagoas,Maceió,8205,476,0,8,"Marshall, Ilhas"
25778,724252,2021,6,Alagoas,Maceió,909,538,1,8,Noruega
26962,737660,2021,6,Alagoas,Maceió,808,160,225,521,China
36940,840441,2023,1,Alagoas,Maceió,1211,776,2,16,Tailândia
38268,852208,2023,10,Alagoas,Maceió,203,351,71,472,Hong Kong
23096,695055,2021,10,Alagoas,Maceió,707,255,5,3,Falkland (Malvinas)
24332,708397,2021,11,Alagoas,Maceió,8468,434,2,44,Libéria
13631,595639,2019,7,Alagoas,São Miguel dos Campos,1701,149,2761642,817127,Canadá
33985,811165,2022,1,Alagoas,Maceió,713,573,3,30,Países Baixos (Holanda)
30618,777357,2022,7,Alagoas,Maceió,2302,538,2,11,Noruega
41316,878331,2023,3,Alagoas,Maceió,2106,301,34,203,Grécia
5330,324565,2011,8,Alagoas,Rio Largo,9998,990,204864,263001,Provisão de Navios e Aeronaves
36158,833277,2022,1,Alagoas,Maceió,9613,705,68,143,São Vicente e Granadinas
17976,641916,2020,10,Alagoas,Japaratinga,4015,23,112,9786,Alemanha
27298,741913,2021,4,Alagoas,Maceió,713,399,13,171,Japão
18586,648517,2020,5,Alagoas,Maceió,706,434,75,106,Libéria
34623,817781,2022,10,Alagoas,Maceió,1806,275,6,17,França
29242,763570,2022,1,Alagoas,Maceió,2005,467,16,105,Malta
20467,667601,2020,2,Alagoas,Maceió,1207,145,1,11,Camarões
23187,696031,2021,3,Alagoas,Maceió,1101,232,50,45,Dinamarca
16626,627765,2020,1,Alagoas,Maceió,2203,580,4,194,Panamá
1169,74378,2002,12,Alagoas,União dos Palmares,2207,289,111942,29415,Gana
38300,852457,2023,9,Alagoas,Maceió,3307,87,0,6,Bélgica
30348,775041,2022,5,Alagoas,Maceió,1604,538,1,18,Noruega
9756,552945,2019,8,Alagoas,Maceió,2201,467,171,287,Malta
46564,923031,2024,1,Alagoas,Maceió,204,351,8,169,Hong Kong
25312,719307,2021,5,Alagoas,Maceió,707,538,16,11,Noruega
29401,765293,2022,10,Alagoas,Maceió,406,603,12,44,Polônia
39667,864126,2023,4,Alagoas,Maceió,909,476,2,14,"Marshall, Ilhas"
30486,776243,2022,4,Alagoas,Maceió,1905,301,89,242,Grécia
8612,529699,2018,4,Alagoas,Marechal Deodoro,6907,756,285263,45391,África do Sul
2224,136156,2004,12,Alagoas,Maceió,1703,611,5000000,703600,Porto Rico
24888,714641,2021,11,Alagoas,Marechal Deodoro,6907,580,338659,71690,Panamá
15861,619785,2020,10,Alagoas,Maceió,307,160,20,233,China
7034,461367,2016,3,Alagoas,Japaratinga,4015,23,121,9091,Alemanha
41565,880209,2023,11,Alagoas,Craíbas,2603,271,12046001,20346143,Finlândia
43963,900828,2023,12,Alagoas,Maceió,3808,351,0,245,Hong Kong
28506,755270,2021,12,Alagoas,Maceió,2001,538,16,52,Noruega
9979,555357,2019,5,Alagoas,Maceió,207,580,135,293,Panamá
33873,809809,2022,11,Alagoas,Maceió,1701,476,0,28,"Marshall, Ilhas"
25910,725685,2021,10,Alagoas,Maceió,1904,386,5,45,Itália
27158,740262,2021,8,Alagoas,Maceió,307,434,20,206,Libéria
28826,758963,2021,6,Alagoas,Maceió,710,249,30,16,Estados Unidos
32117,791950,2022,5,Alagoas,Maceió,1507,628,10,114,Reino Unido
23487,699389,2021,8,Alagoas,Maceió,904,434,3,17,Libéria
15403,614732,2019,10,Alagoas,Maceió,1804,434,0,32,Libéria
6478,419615,2014,5,Alagoas,Boca da Mata,1701,59,3461482,1453165,Argélia
8473,525563,2018,11,Alagoas,Maceió,708,580,90,37,Panamá
44119,902198,2023,2,Alagoas,Maceió,202,23,135,1339,Alemanha
10366,560136,2019,6,Alagoas,Maceió,1515,607,12,303,Portugal
2648,162089,2005,5,Alagoas,Coruripe,2207,493,485495,174012,México
15659,617569,2020,8,Alagoas,Maceió,2004,628,20,39,Reino Unido
10719,563725,2019,6,Alagoas,Arapiraca,2844,573,0,600,Países Baixos (Holanda)
1907,117349,2004,3,Alagoas,Maceió,8406,97,2975,42860,Bolívia
5543,339240,2011,4,Alagoas,São José da Laje,1701,63,1350000,991602,Argentina
3908,239604,2008,10,Alagoas,Coruripe,1701,607,13400000,3674280,Portugal
39101,859200,2023,5,Alagoas,Maceió,2103,399,33,144,Japão
20921,672084,2020,3,Alagoas,Maceió,2009,232,12,34,Dinamarca
29968,770997,2022,1,Alagoas,Maceió,9404,476,2,22,"Marshall, Ilhas"
6257,397415,2013,4,Alagoas,São José da Laje,1701,40,1350000,747495,Angola
29623,767531,2022,3,Alagoas,Maceió,402,105,36,285,Brasil
24532,710846,2021,8,Alagoas,Maceió,2901,163,12,421,Chipre
45318,912423,2024,4,Alagoas,Maceió,2008,476,67,509,"Marshall, Ilhas"
8360,522310,2018,12,Alagoas,Maceió,713,476,18,29,"Marshall, Ilhas"
6649,435755,2015,12,Alagoas,Atalaia,1701,291,2600000,885688,Geórgia
11251,569587,2019,9,Alagoas,Maceió,2009,249,35590,55095,Estados Unidos
43782,899214,2023,11,Alagoas,Maceió,803,580,160,114,Panamá
11949,577342,2019,5,Alagoas,Maceió,1108,607,1,8,Portugal
42938,891806,2023,1,Alagoas,Maceió,702,160,40,53,China
35812,829899,2022,5,Alagoas,Maceió,703,741,104,250,Singapura
27237,741233,2021,3,Alagoas,Maceió,2103,301,26,149,Grécia
11795,575570,2019,6,Alagoas,Maceió,2201,77,39,168,Bahamas
33589,807072,2022,3,Alagoas,Maceió,401,77,358,356,Bahamas
9230,547372,2019,3,Alagoas,Maceió,802,476,16,410,"Marshall, Ilhas"
26388,730910,2021,1,Alagoas,Maceió,1702,580,8,66,Panamá
23210,696232,2021,3,Alagoas,Marechal Deodoro,6907,249,1471194,273214,Estados Unidos
42235,885829,2023,6,Alagoas,Maceió,6302,301,124,2554,Grécia
16603,627535,2020,11,Alagoas,Maceió,6307,23,2,21,Alemanha
19103,653398,2020,10,Alagoas,Maceió,807,573,2200,2226,Países Baixos (Holanda)
21187,674814,2020,7,Alagoas,Maceió,2208,163,21,265,Chipre
12238,580411,2019,3,Alagoas,Maceió,2102,580,12,12,Panamá
43327,895059,2023,10,Alagoas,Maceió,1006,467,60,105,Malta
1197,75819,2002,8,Alagoas,Pilar,9998,232,34096,9621,Dinamarca
25261,718661,2021,3,Alagoas,Maceió,1512,160,36,106,China
34172,813054,2022,9,Alagoas,Maceió,808,741,113,387,Singapura
14622,606626,2019,6,Alagoas,São José da Laje,1701,756,1674000,587658,África do Sul
4606,279530,2009,2,Alagoas,Pilar,810,573,350,228,Países Baixos (Holanda)
9357,548856,2019,9,Alagoas,Maceió,705,301,10,16,Grécia
34557,817148,2022,1,Alagoas,Maceió,2209,705,7,15,São Vicente e Granadinas
24890,714653,2021,4,Alagoas,Maceió,210,538,62,383,Noruega
17294,634719,2020,3,Alagoas,Marechal Deodoro,6907,623,154195,26658,Quênia
12499,583369,2019,9,Alagoas,Maceió,2209,351,2,34,Hong Kong
29883,770120,2022,8,Alagoas,Maceió,2204,434,2,32,Libéria
34842,819770,2022,5,Alagoas,Maceió,204,232,65,604,Dinamarca
33663,807804,2022,4,Alagoas,Maceió,709,538,90,128,Noruega
41926,883120,2023,10,Alagoas,Maceió,904,249,1,11,Estados Unidos
41092,876470,2023,5,Alagoas,Maceió,702,160,130,153,China
47051,926687,2024,4,Alagoas,Rio Largo,1701,240,2818993,1876432,Egito
39176,859676,2023,6,Alagoas,Maceió,7214,573,12,1030,Países Baixos (Holanda)
31388,784875,2022,2,Alagoas,Marechal Deodoro,6907,97,134406,41343,Bolívia
25429,720648,2021,5,Alagoas,Maceió,2001,43,5,32,Antígua e Barbuda
36749,838606,2023,11,Alagoas,Maceió,712,476,3,2,"Marshall, Ilhas"
